promotion_id,description,DiscountPercentage,start_date,end_date,customer_segment
19268,Synergized global protocol,19.80089106,8/9/2024,10/21/2024,Business
72210,Managed 4thgeneration focus group,17.09253489,8/13/2024,9/30/2024,Regular
24312,Open-source attitude-oriented process improvement,6.707146771,5/31/2024,10/19/2024,VIP
28938,Fully-configurable didactic knowledge user,22.44612459,7/21/2024,9/27/2024,Regular
27169,Persistent non-volatile middleware,21.18579482,3/25/2024,10/14/2024,Regular
3566,User-centric foreground ability,42.63979331,6/4/2024,10/8/2024,Regular
92960,Persevering multimedia middleware,34.02290759,8/21/2024,10/18/2024,Business
12258,Self-enabling zero administration hardware,46.70591899,6/20/2024,10/14/2024,Business
74157,Business-focused demand-driven policy,20.81522328,6/12/2024,10/10/2024,Regular
12824,Automated mobile synergy,28.8819721,3/27/2024,10/23/2024,VIP
33781,Front-line local monitoring,31.33820702,4/25/2024,9/29/2024,VIP
81237,Reactive cohesive extranet,12.18928222,9/8/2024,10/10/2024,VIP
65311,Team-oriented systematic open architecture,45.86457323,2/21/2024,10/1/2024,Regular
93283,Future-proofed modular database,6.166636956,1/6/2024,9/28/2024,Business
88786,Fundamental object-oriented success,30.13686052,9/17/2024,10/3/2024,VIP
85317,Upgradable eco-centric synergy,15.64289883,7/27/2024,10/14/2024,Regular
33246,Universal well-modulated project,31.80364464,7/30/2024,10/23/2024,Business
20827,Versatile multi-state capacity,41.11085271,7/3/2024,10/4/2024,Business
89726,Profound encompassing architecture,49.19677126,5/5/2024,10/2/2024,Regular
96305,Integrated zero administration implementation,47.31258504,5/16/2024,10/2/2024,Regular
